time,time,time,0,q,p1,p2,p3
1592012647.0798874,0.0,0.0,0.0,-0.6550326104581582,0.0047322861400224,-0.027805498641817653,0.7550739956782645
1592012647.0898874,0.0,0.0,0.0,-0.6550382923764733,0.004725407947309273,-0.02780308340364222,0.7550691985279043
1592012647.0998874,0.0,0.0,0.0,-0.6550412249821043,0.004732043113152989,-0.02779849835003461,0.7550667816985276
1592012647.1098874,0.0,0.0,0.0,-0.6550389771571546,0.0047318188670267105,-0.027803792294528236,0.7550685381975595
1592012647.1198874,0.0,0.0,0.0,-0.6550410116167972,0.00472229293790023,-0.02781059369775047,0.7550665824140764
1592012647.1298873,0.0,0.0,0.0,-0.6550446551376726,0.004725520050175108,-0.02781446580402573,0.7550632587473085
1592012647.1398873,0.0,0.0,0.0,-0.655045968914779,0.004723608008892623,-0.027807427619796512,0.755062390194817
1592012647.1498873,0.0,0.0,0.0,-0.6550476859113391,0.004728250825926589,-0.027799688036193572,0.7550611565667138
1592012647.1598873,0.0,0.0,0.0,-0.6550477151303579,0.004731977818558238,-0.027801735803121792,0.7550610324749911
1592012647.1698873,0.0,0.0,0.0,-0.6550477591343602,0.004734832755163789,-0.027802199731421316,0.7550609593255269
1592012647.1798873,0.0,0.0,0.0,-0.6550466011398308,0.004737404780785271,-0.0278040500565034,0.7550618796461145
1592012647.1898873,0.0,0.0,0.0,-0.6550434251661204,0.004735038260953174,-0.027809947148085098,0.7550644325902562
1592012647.1998873,0.0,0.0,0.0,-0.6550468326694272,0.004726121745333991,-0.02780314641210853,0.7550617827751491
1592012647.2098873,0.0,0.0,0.0,-0.655049009308271,0.004721741060611489,-0.02779511802153258,0.755060217430146
1592012647.2198873,0.0,0.0,0.0,-0.6550520253231557,0.004714462873044033,-0.027784340109277272,0.7550580430346026
1592012647.2298872,0.0,0.0,0.0,-0.6550542018853541,0.0047160669034200554,-0.02777886127290278,0.755056346342525
1592012647.2398872,0.0,0.0,0.0,-0.655062982663499,0.004719590318967727,-0.027772658630575892,0.7550489345588071
1592012647.2498872,0.0,0.0,0.0,-0.6550667030633411,0.0047228321511639795,-0.027767828102061822,0.7550458642442106
1592012647.2598872,0.0,0.0,0.0,-0.655066793595103,0.004736196282984566,-0.027774707108803025,0.75504544894512
1592012647.2698872,0.0,0.0,0.0,-0.6550751683952859,0.004738575884343104,-0.027776619208902786,0.7550380977447662
1592012647.2798872,0.0,0.0,0.0,-0.6550838430906646,0.004726831045291454,-0.027763574085640414,0.7550311247388043
1592012647.2898872,0.0,0.0,0.0,-0.6550877289725694,0.004721153603284337,-0.027755017091865824,0.7550281035045268
1592012647.2998872,0.0,0.0,0.0,-0.6550878011135304,0.004720596628350908,-0.027751298364067555,0.755028181081239
1592012647.3098872,0.0,0.0,0.0,-0.6550878221996543,0.0047181626704416195,-0.027748335586911137,0.7550282868998255
1592012647.3198872,0.0,0.0,0.0,-0.6550912065093821,0.004724423904316752,-0.02773745488190283,0.755025711119724
1592012647.3298872,0.0,0.0,0.0,-0.655094997825981,0.004726972461382468,-0.02773158066887471,0.7550226215033142
1592012647.3398871,0.0,0.0,0.0,-0.6550990713583791,0.0047224770667094775,-0.027735344025770384,0.7550189769760937
1592012647.3498871,0.0,0.0,0.0,-0.6551046732424531,0.0047195669116810125,-0.027754779388122625,0.7550134203425045
1592012647.3598871,0.0,0.0,0.0,-0.6551059406181664,0.00471800531807591,-0.02775874331378487,0.755012184775547
