time,time,time,0,q,p1,p2,p3
1591993913.726222,0.0,0.0,0.0,-0.6964158224978253,-0.0010858501365195335,-0.030326731135178874,0.7169965916814481
1591993913.736222,0.0,0.0,0.0,-0.6964126411509798,-0.0010918775319924234,-0.030320391107294092,0.7169999406699868
1591993913.746222,0.0,0.0,0.0,-0.6964074116794025,-0.0010822845532012665,-0.030319836517208935,0.7170050579525289
1591993913.756222,0.0,0.0,0.0,-0.6964040344568846,-0.0010852346700203183,-0.03030961558937746,0.7170087657858207
1591993913.766222,0.0,0.0,0.0,-0.6964014475874952,-0.001084696078737445,-0.030304658642777507,0.7170114886736261
1591993913.776222,0.0,0.0,0.0,-0.6963891255360687,-0.001086605810767132,-0.03029980901434818,0.7170236583132195
1591993913.786222,0.0,0.0,0.0,-0.6963872140282803,-0.0010880018475802591,-0.030292760327858412,0.7170258105741121
1591993913.796222,0.0,0.0,0.0,-0.6963876298812948,-0.0010871176476502146,-0.030288012938774835,0.7170256085963995
1591993913.806222,0.0,0.0,0.0,-0.6963865357663481,-0.0010818729901849685,-0.03028657229382994,0.7170267399865872
1591993913.816222,0.0,0.0,0.0,-0.6963901227315072,-0.0010762658828705855,-0.030285628851700667,0.7170233045697524
1591993913.826222,0.0,0.0,0.0,-0.6963901693644833,-0.0010763683514090348,-0.030283205025475223,0.7170233614976341
1591993913.836222,0.0,0.0,0.0,-0.696390236482905,-0.001074689010189198,-0.030281669084333954,0.7170233637004317
1591993913.846222,0.0,0.0,0.0,-0.6963875800729208,-0.0010744825863326884,-0.030276206831088795,0.7170261746197395
1591993913.856222,0.0,0.0,0.0,-0.6963865473402382,-0.001074420682904337,-0.030274078252169902,0.7170272676054376
1591993913.866222,0.0,0.0,0.0,-0.6963865384818575,-0.0010814296920106607,-0.03026686995802152,0.7170275699535235
1591993913.876222,0.0,0.0,0.0,-0.6963880729430402,-0.0010814644294529553,-0.030261220350840574,0.7170263180844461
1591993913.886222,0.0,0.0,0.0,-0.6963893487321422,-0.0010762236888726287,-0.030256082266355205,0.7170253037327955
1591993913.8962219,0.0,0.0,0.0,-0.6963897823575311,-0.001066098241690676,-0.03024609655593884,0.7170253189713969
