time,pos_x,pos_y,pos_z,q,p1,p2,p3
1589997256.0761838,-0.0,0.18598271625279508,0.56,-0.20789683526812536,-0.029688799411999582,0.9758078741412832,0.060798633527751576
1589997256.0861838,-0.0,0.18598271625279508,0.56,-0.20790621525120812,-0.02969267245787249,0.9758053920269097,0.060804504250612956
1589997256.0961838,-0.0,0.18598271625279508,0.56,-0.20795317039321448,-0.029701692511811664,0.9757950895289075,0.0608048561374845
1589997256.1061838,-0.0,0.18598271625279508,0.56,-0.2080784674585118,-0.029723587858497838,0.9757681262038673,0.06079816298326345
1589997256.1161838,-0.0,0.18598271625279508,0.56,-0.20820108107730365,-0.02975657904945216,0.9757408750795896,0.06079964976429455
1589997256.1261837,-0.0,0.18598271625279508,0.56,-0.2083948881610714,-0.02980955139326784,0.975696551650345,0.06082074590672541
1589997256.1361837,-0.0,0.18598271625279508,0.56,-0.2087046443245153,-0.029895801178267224,0.9756244600948831,0.060872964641296996
1589997256.1461837,-0.0,0.18598271625279508,0.56,-0.20880330295884653,-0.029934571682566895,0.9756007467146057,0.060895676208864054
1589997256.1561837,-0.0,0.18598271625279508,0.56,-0.20906622077903655,-0.030036674555771387,0.9755381845426134,0.06094557270542592
1589997256.1661837,-0.0,0.18598271625279508,0.56,-0.20913808948902646,-0.030074584844695575,0.9755210218015978,0.060955013979535067
1589997256.1761837,-0.0,0.18598271625279508,0.56,-0.20918656394944649,-0.030122994526203213,0.9755090238234965,0.06095679551100887
1589997256.1861837,-0.0,0.18598271625279508,0.56,-0.20918917912229143,-0.030141783987415554,0.9755080807797064,0.06095362561039533
1589997256.1961837,-0.0,0.18598271625279508,0.56,-0.20918060032930444,-0.03015622189093888,0.9755091886103108,0.06095819545578401
1589997256.2061837,-0.0,0.18598271625279508,0.56,-0.20916206692050687,-0.03016595262510921,0.9755121368931297,0.06096979311541015
1589997256.2161837,-0.0,0.18598271625279508,0.56,-0.20915196155881272,-0.030171248005653285,0.9755144111926944,0.060965451672231635
1589997256.2261837,-0.0,0.18598271625279508,0.56,-0.2091815113134395,-0.030179781273240294,0.9755084741068686,0.060954837372252504
1589997256.2361836,-0.0,0.18598271625279508,0.56,-0.20922658018014495,-0.030198432813316724,0.9754989751313502,0.06094293572109675
1589997256.2461836,-0.0,0.18598271625279508,0.56,-0.2092776196407495,-0.030225303048167937,0.9754879257592051,0.060931217181129864
1589997256.2561836,-0.0,0.18598271625279508,0.56,-0.20941527874457572,-0.030306849689730624,0.9754565064517708,0.06092072051313756
1589997256.2661836,-0.0,0.18598271625279508,0.56,-0.20950729027959542,-0.030371880259989797,0.9754355048883206,0.06090828712656594
1589997256.2761836,-0.0,0.18598271625279508,0.56,-0.2095465474053557,-0.03039551124099999,0.9754266635017721,0.060903043064079995
1589997256.2861836,-0.0,0.18598271625279508,0.56,-0.20966268884955505,-0.030461875582150733,0.975401422664118,0.060874418250210845
1589997256.2961836,-0.0,0.18598271625279508,0.56,-0.2097102880961945,-0.030482824148737448,0.9753910811000315,0.06086567852440357
1589997256.3061836,-0.0,0.18598271625279508,0.56,-0.20979243969321176,-0.030510047955800604,0.9753728381229888,0.06086128088572325
1589997256.3161836,-0.0,0.18598271625279508,0.56,-0.2098381268526578,-0.030518575044101492,0.9753626466251406,0.06086282848822258
1589997256.3261836,-0.0,0.18598271625279508,0.56,-0.2098927320032116,-0.030540129542739915,0.9753509461018769,0.06085123000261072
1589997256.3361835,-0.0,0.18598271625279508,0.56,-0.20994888155729036,-0.030570618992865773,0.9753389969868851,0.06083373687816384
1589997256.3461835,-0.0,0.18598271625279508,0.56,-0.2100075767864874,-0.030594818211912327,0.9753258643589714,0.06082953784816262
1589997256.3561835,-0.0,0.18598271625279508,0.56,-0.21007755705573053,-0.030617627548361743,0.9753103496758581,0.060825164027895624
1589997256.3661835,-0.0,0.18598271625279508,0.56,-0.2102461923913891,-0.030682727643658585,0.9752729805720102,0.060808862111301654
1589997256.3761835,-0.0,0.18598271625279508,0.56,-0.2103914767342316,-0.030755987878513632,0.9752403819395026,0.06079212554453326
1589997256.3861835,-0.0,0.18598271625279508,0.56,-0.2105177402220953,-0.030821664847259726,0.9752121053406577,0.06077544106676126
1589997256.3961835,-0.0,0.18598271625279508,0.56,-0.210566641760701,-0.030842316604937112,0.9752011197174423,0.06077184349742961
1589997256.4061835,-0.0,0.18598271625279508,0.56,-0.2106033163808093,-0.03084606289675667,0.9751928390634371,0.0607757354928909
1589997256.4161835,-0.0,0.18598271625279508,0.56,-0.21059490413106827,-0.030831412666724786,0.9751942881622212,0.06078906688814764
1589997256.4261835,-0.0,0.18598271625279508,0.56,-0.21058735177933344,-0.030824160880646732,0.9751962150600467,0.06078799630338374
1589997256.4361835,-0.0,0.18598271625279508,0.56,-0.21059630442049762,-0.030830033235983025,0.9751946444906121,0.06077919839703363
1589997256.4461834,-0.0,0.18598271625279508,0.56,-0.21060028961003038,-0.030832645105146803,0.9751934696616111,0.06078291477617305
1589997256.4561834,-0.0,0.18598271625279508,0.56,-0.21062402314895473,-0.03083025475503243,0.9751876037634407,0.060795998586443765
